Card,Quantity,Pilot,Archetype,Event,Date Posted,Main/Sideboard,Mana Value,Mana Cost,Colours,Most Recent Printing,Card Text,Type Line,Price EUR,Price USD,Rarity
Hallowed Fountain,4,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2019-01-25,"({T}: Add {W} or {U}.)
As Hallowed Fountain enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",Land — Plains Island,11.93,11.31,rare
Prairie Stream,2,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2023-04-21,"({T}: Add {W} or {U}.)
Prairie Stream enters the battlefield tapped unless you control two or more basic lands.",Land — Plains Island,0.21,0.16,rare
Irrigated Farmland,4,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2020-04-17,"({T}: Add {W} or {U}.)
Irrigated Farmland enters the battlefield tapped.
Cycling {2} ({2}, Discard this card: Draw a card.)",Land — Plains Island,0.76,0.96,rare
Field of Ruin,2,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2023-04-21,"{T}: Add {C}.
{2}, {T}, Sacrifice Field of Ruin: Destroy target nonbasic land an opponent controls. Each player searches their library for a basic land card, puts it onto the battlefield, then shuffles.",Land,0.05,0.15,uncommon
Fabled Passage,4,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2020-07-03,"{T}, Sacrifice Fabled Passage: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Then if you control four or more lands, untap that land.",Land,3.7,4.8,rare
Castle Ardenvale,1,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2022-04-29,"Castle Ardenvale enters the battlefield tapped unless you control a Plains.
{T}: Add {W}.
{2}{W}{W}, {T}: Create a 1/1 white Human creature token.",Land,0.98,0.59,rare
Castle Vantress,1,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2022-06-10,"Castle Vantress enters the battlefield tapped unless you control an Island.
{T}: Add {U}.
{2}{U}{U}, {T}: Scry 2.",Land,0.93,0.38,rare
"Otawara, Soaring City",1,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2022-02-18,"{T}: Add {U}.
Channel — {3}{U}, Discard Otawara, Soaring City: Return target artifact, creature, enchantment, or planeswalker to its owner's hand. This ability costs {1} less to activate for each legendary creature you control.",Legendary Land,17.98,12.58,rare
Hall of Storm Giants,1,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2021-07-23,"If you control two or more other lands, Hall of Storm Giants enters the battlefield tapped.
{T}: Add {U}.
{5}{U}: Until end of turn, Hall of Storm Giants becomes a 7/7 blue Giant creature with ward {3}. It's still a land. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {3}.)",Land,3.97,1.87,rare
Lay Down Arms,4,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,1.0,{W},['W'],2022-11-18,Exile target creature with mana value less than or equal to the number of Plains you control. Its controller gains 3 life.,Sorcery,0.32,0.24,uncommon
Farewell,1,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,6.0,{4}{W}{W},['W'],2022-02-18,"Choose one or more —
• Exile all artifacts.
• Exile all creatures.
• Exile all enchantments.
• Exile all graveyards.",Sorcery,8.56,9.48,rare
Rewind,3,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,4.0,{2}{U}{U},['U'],2020-07-03,Counter target spell. Untap up to four lands.,Instant,0.23,0.26,uncommon
March of Otherworldly Light,3,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,1.0,{X}{W},['W'],2022-02-18,"As an additional cost to cast this spell, you may exile any number of white cards from your hand. This spell costs {2} less to cast for each card exiled this way.
Exile target artifact, creature, or enchantment with mana value X or less.",Instant,2.96,1.96,rare
Mystical Dispute,1,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,3.0,{2}{U},['U'],2019-10-04,"This spell costs {2} less to cast if it targets a blue spell.
Counter target spell unless its controller pays {3}.",Instant,0.28,0.25,uncommon
Hallowed Moonlight,1,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,2.0,{1}{W},['W'],2015-07-17,"Until end of turn, if a creature would enter the battlefield and it wasn't cast, exile it instead.
Draw a card.",Instant,9.91,6.14,rare
Absorb,1,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,3.0,{W}{U}{U},"['U', 'W']",2019-01-25,Counter target spell. You gain 3 life.,Instant,0.82,0.35,rare
Censor,1,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,3.0,{2}{W},['W'],2022-06-10,"Flash
Flying
If an opponent would search a library, that player searches the top four cards of that library instead.",Creature — Bird Wizard,0.14,0.14,uncommon
Dovin's Veto,3,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,2.0,{W}{U},"['U', 'W']",2019-05-03,"This spell can't be countered.
Counter target noncreature spell.",Instant,2.0,3.72,uncommon
The Celestus,1,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,4.0,{2}{G}{G},['G'],2021-09-24,"Distribute three +1/+1 counters among one, two, or three target creatures you control.",Instant,0.02,0.01,uncommon
Shark Typhoon,3,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,6.0,{5}{U},['U'],2020-04-24,"Whenever you cast a noncreature spell, create an X/X blue Shark creature token with flying, where X is that spell's mana value.
Cycling {X}{1}{U} ({X}{1}{U}, Discard this card: Draw a card.)
When you cycle Shark Typhoon, create an X/X blue Shark creature token with flying.",Enchantment,12.91,11.64,rare
Make Disappear,1,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,2.0,{1}{U},['U'],2022-04-29,"Casualty 1 (As you cast this spell, you may sacrifice a creature with power 1 or greater. When you do, copy this spell and you may choose a new target for the copy.)
Counter target spell unless its controller pays {2}.",Instant,0.4,0.56,common
"Teferi, Hero of Dominaria",2,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,5.0,{3}{W}{U},"['U', 'W']",2018-04-27,"+1: Draw a card. At the beginning of the next end step, untap up to two lands.
−3: Put target nonland permanent into its owner's library third from the top.
−8: You get an emblem with ""Whenever you draw a card, exile target permanent an opponent controls.""",Legendary Planeswalker — Teferi,26.99,25.92,mythic
"Narset, Parter of Veils",1,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,3.0,{1}{U}{U},['U'],2019-05-03,"Each opponent can't draw more than one card each turn.
−2: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",Legendary Planeswalker — Narset,0.77,1.87,uncommon
The Wandering Emperor,4,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,4.0,{2}{W}{W},['W'],2022-02-18,"Flash
As long as The Wandering Emperor entered the battlefield this turn, you may activate her loyalty abilities any time you could cast an instant.
+1: Put a +1/+1 counter on up to one target creature. It gains first strike until end of turn.
−1: Create a 2/2 white Samurai creature token with vigilance.
−2: Exile target tapped creature. You gain 2 life.",Legendary Planeswalker,25.04,18.43,mythic
Change the Equation,1,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,2.0,{1}{U},['U'],2023-04-21,"Choose one —
• Counter target spell with mana value 2 or less.
• Counter target red or green spell with mana value 6 or less.",Instant,0.33,0.27,uncommon
Dig Through Time,2,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,8.0,{6}{U}{U},['U'],2022-04-29,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)
Look at the top seven cards of your library. Put two of them into your hand and the rest on the bottom of your library in any order.",Instant,0.51,0.45,rare
Island,2,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2023-10-13,({T}: Add {U}.),Basic Land — Island,,,common
Plains,5,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Mainboard,1.0,{W},['W'],2016-04-08,You gain 5 life.,Sorcery,0.1,0.09,common
Disdainful Stroke,1,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Sideboard,2.0,{1}{U},['U'],2022-04-29,Counter target spell with mana value 4 or greater.,Instant,0.06,0.07,common
"Narset, Parter of Veils",1,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Sideboard,3.0,{1}{U}{U},['U'],2019-05-03,"Each opponent can't draw more than one card each turn.
−2: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",Legendary Planeswalker — Narset,0.77,1.87,uncommon
Temporary Lockdown,3,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Sideboard,3.0,{1}{W}{W},['W'],2022-09-09,"When Temporary Lockdown enters the battlefield, exile each nonland permanent with mana value 2 or less until Temporary Lockdown leaves the battlefield.",Enchantment,1.16,1.78,rare
Aether Gust,2,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Sideboard,2.0,{1}{U},['U'],2019-07-12,Choose target spell or permanent that's red or green. Its owner puts it on the top or bottom of their library.,Instant,0.33,0.37,uncommon
Dovin's Veto,1,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Sideboard,2.0,{W}{U},"['U', 'W']",2019-05-03,"This spell can't be countered.
Counter target noncreature spell.",Instant,2.0,3.72,uncommon
Dream Trawler,1,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Sideboard,6.0,{2}{W}{W}{U}{U},"['U', 'W']",2020-01-24,"Flying, lifelink
Whenever you draw a card, Dream Trawler gets +1/+0 until end of turn.
Whenever Dream Trawler attacks, draw a card.
Discard a card: Dream Trawler gains hexproof until end of turn. Tap it.",Creature — Sphinx,0.36,0.29,rare
Commit // Memory,2,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Sideboard,10.0,{3}{U},['U'],2022-04-29,,Instant // Sorcery,0.21,0.45,rare
Shark Typhoon,1,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Sideboard,6.0,{5}{U},['U'],2020-04-24,"Whenever you cast a noncreature spell, create an X/X blue Shark creature token with flying, where X is that spell's mana value.
Cycling {X}{1}{U} ({X}{1}{U}, Discard this card: Draw a card.)
When you cycle Shark Typhoon, create an X/X blue Shark creature token with flying.",Enchantment,12.91,11.64,rare
